,Start (s),End (s),Scientific name,Common name,Confidence
45,138.0,141.0,Aplonis panayensis,Asian Glossy Starling,0.355
208,393.0,396.0,Anthreptes malacensis,Brown-throated Sunbird,0.3549
39,126.0,129.0,Porzana porzana,Spotted Crake,0.3548
305,537.0,540.0,Psilopogon lineatus,Lineated Barbet,0.3538
296,531.0,534.0,Cinnyris jugularis,Olive-backed Sunbird,0.3509
323,564.0,567.0,Spinus pinus,Pine Siskin,0.3476
324,564.0,567.0,Cinnyris jugularis,Olive-backed Sunbird,0.3417
136,270.0,273.0,Anthreptes malacensis,Brown-throated Sunbird,0.3392
293,528.0,531.0,Aplonis panayensis,Asian Glossy Starling,0.3352
108,225.0,228.0,Pandion haliaetus,Osprey,0.3314
192,369.0,372.0,Aethopyga siparaja,Crimson Sunbird,0.3288
157,303.0,306.0,Human vocal,Human vocal,0.3262
317,558.0,561.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.3201
310,543.0,546.0,Trichoglossus chlorolepidotus,Scaly-breasted Lorikeet,0.3198
224,432.0,435.0,Cincloramphus timoriensis,Tawny Grassbird,0.3196
334,579.0,582.0,Picus viridis,Eurasian Green Woodpecker,0.315
109,225.0,228.0,Cinnyris jugularis,Olive-backed Sunbird,0.3135
228,435.0,438.0,Cincloramphus timoriensis,Tawny Grassbird,0.3071
133,258.0,261.0,Human vocal,Human vocal,0.3058
140,276.0,279.0,Spinus pinus,Pine Siskin,0.3052
191,366.0,369.0,Human vocal,Human vocal,0.2973
130,252.0,255.0,Cinnyris jugularis,Olive-backed Sunbird,0.2959
86,192.0,195.0,Cinnyris jugularis,Olive-backed Sunbird,0.2939
260,483.0,486.0,Cinnyris jugularis,Olive-backed Sunbird,0.2909
178,333.0,336.0,Anthreptes malacensis,Brown-throated Sunbird,0.2822
26,87.0,90.0,Tyrannus tyrannus,Eastern Kingbird,0.2821
6,39.0,42.0,Human vocal,Human vocal,0.2809
284,519.0,522.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.2783
13,48.0,51.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.2769
253,477.0,480.0,Phaenicophaeus sumatranus,Chestnut-bellied Malkoha,0.2766
193,369.0,372.0,Pycnonotus plumosus,Olive-winged Bulbul,0.2765
81,186.0,189.0,Cinnyris jugularis,Olive-backed Sunbird,0.2741
96,201.0,204.0,Cinnyris jugularis,Olive-backed Sunbird,0.273
98,204.0,207.0,Cinnyris lotenius,Loten's Sunbird,0.2705
287,522.0,525.0,Cinnyris jugularis,Olive-backed Sunbird,0.2675
182,342.0,345.0,Cinnyris jugularis,Olive-backed Sunbird,0.2658
211,402.0,405.0,Buceros rhinoceros,Rhinoceros Hornbill,0.2654
230,438.0,441.0,Dicrurus paradiseus,Greater Racket-tailed Drongo,0.264
89,195.0,198.0,Anthreptes malacensis,Brown-throated Sunbird,0.2638
24,78.0,81.0,Accipiter badius,Shikra,0.2635
65,171.0,174.0,Cinnyris jugularis,Olive-backed Sunbird,0.2615
155,300.0,303.0,Pycnonotus goiavier,Yellow-vented Bulbul,0.2597
35,114.0,117.0,Dog,Dog,0.2593
37,117.0,120.0,Human vocal,Human vocal,0.2586
48,141.0,144.0,Psittacula longicauda,Long-tailed Parakeet,0.2546
279,510.0,513.0,Serinus serinus,European Serin,0.2488
168,321.0,324.0,Cinnyris jugularis,Olive-backed Sunbird,0.2486
327,573.0,576.0,Spinus pinus,Pine Siskin,0.248
339,597.0,600.0,Hedydipna collaris,Collared Sunbird,0.248
275,498.0,501.0,Aplonis panayensis,Asian Glossy Starling,0.2466
118,237.0,240.0,Anthreptes malacensis,Brown-throated Sunbird,0.2464
150,288.0,291.0,Human vocal,Human vocal,0.244
134,261.0,264.0,Anthreptes malacensis,Brown-throated Sunbird,0.2432
32,108.0,111.0,Zosterops simplex,Swinhoe's White-eye,0.242
285,519.0,522.0,Psilopogon lineatus,Lineated Barbet,0.2378
147,285.0,288.0,Human vocal,Human vocal,0.2377
